ID,Parent_ID,Type,Section_Title,Task_Title,Status,Priority,Assigned_To,Estimated_Effort,Start_Date,Target_Date,Completion_Date,PR_Link,Dependencies,Blockers,Notes
1,-,Section,Architecture & API hygiene,Architecture & API hygiene,DONE,N/A,Agent,N/A,N/A,N/A,2025-02-10,N/A,N/A,N/A,Gate A passed
1.1,1,Task,Architecture & API hygiene,Public API namespace flattened,DONE,N/A,Agent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.2,1,Task,Architecture & API hygiene,Settings via pydantic.BaseSettings,DONE,N/A,Agent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.3,1,Task,Architecture & API hygiene,FastAPI health-check endpoint,DONE,N/A,Agent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GateA,1,Gate,Architecture & API hygiene,Baseline architecture validated,DONE,N/A,Human,N/A,N/A,N/A,2025-02-10,N/A,"1.1,1.2,1.3",N/A,N/A
2,-,Section,Data-science leakage fixes,Data-science leakage fixes,DONE,N/A,Agent,N/A,N/A,N/A,2025-03-05,N/A,N/A,N/A,Gate B passed
2.1,2,Task,Data-science leakage fixes,Winsor leak fix,DONE,N/A,Agent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2.2,2,Task,Data-science leakage fixes,Walk-forward split utility,DONE,N/A,Agent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2.3,2,Task,Data-science leakage fixes,Stationarity test windowing,DONE,N/A,Agent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GateB,2,Gate,Data-science leakage fixes,Leakage fixes validated,DONE,N/A,Human,N/A,N/A,N/A,2025-03-05,N/A,"2.1,2.2,2.3",N/A,N/A
3,-,Section,Reliability & CI,Reliability & CI,DONE,N/A,Agent,N/A,N/A,N/A,2025-04-15,N/A,N/A,N/A,Gate C passed
3.1,3,Task,Reliability & CI,Retry/backoff wrapper,DONE,N/A,Agent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3.2,3,Task,Reliability & CI,Snapshot unit-tests,DONE,N/A,Agent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3.3,3,Task,Reliability & CI,GitHub Actions matrix (py 3.10-3.12),DONE,N/A,Agent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GateC,3,Gate,Reliability & CI,Reliability suite + CI green,DONE,N/A,Human,N/A,N/A,N/A,2025-04-15,N/A,"3.1,3.2,3.3",N/A,N/A
4,-,Section,Maintainability & Dev-Experience,Maintainability & Dev-Experience,DONE,N/A,Agent,N/A,N/A,N/A,2024-08-01,N/A,N/A,N/A,Gate D passed
4.1,4,Task,Maintainability & Dev-Experience,Pre-commit hook stack,DONE,N/A,Agent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
